#    L    TT             EE             TE             PP             TP          
  1102    0.11579E+04    0.18051E+02   -0.71597E+02    0.17850E+06   -0.27745E+02
  1103    0.11600E+04    0.17806E+02   -0.70974E+02    0.17817E+06   -0.27759E+02
  1104    0.11622E+04    0.17566E+02   -0.70333E+02    0.17784E+06   -0.27769E+02
  1105    0.11643E+04    0.17329E+02   -0.69676E+02    0.17751E+06   -0.27775E+02
  1106    0.11663E+04    0.17094E+02   -0.69001E+02    0.17719E+06   -0.27778E+02
  1107    0.11683E+04    0.16863E+02   -0.68311E+02    0.17686E+06   -0.27776E+02
  1108    0.11702E+04    0.16636E+02   -0.67606E+02    0.17654E+06   -0.27770E+02
  1109    0.11719E+04    0.16410E+02   -0.66884E+02    0.17621E+06   -0.27761E+02
  1110    0.11737E+04    0.16190E+02   -0.66149E+02    0.17589E+06   -0.27747E+02
  1111    0.11753E+04    0.15974E+02   -0.65398E+02    0.17556E+06   -0.27730E+02
  1112    0.11770E+04    0.15761E+02   -0.64634E+02    0.17524E+06   -0.27709E+02
  1113    0.11785E+04    0.15553E+02   -0.63855E+02    0.17492E+06   -0.27684E+02
  1114    0.11799E+04    0.15348E+02   -0.63064E+02    0.17460E+06   -0.27656E+02
  1115    0.11813E+04    0.15148E+02   -0.62261E+02    0.17428E+06   -0.27623E+02
  1116    0.11827E+04    0.14952E+02   -0.61444E+02    0.17396E+06   -0.27587E+02
  1117    0.11839E+04    0.14760E+02   -0.60616E+02    0.17364E+06   -0.27548E+02
  1118    0.11850E+04    0.14573E+02   -0.59775E+02    0.17333E+06   -0.27505E+02
  1119    0.11861E+04    0.14390E+02   -0.58923E+02    0.17301E+06   -0.27458E+02
  1120    0.11871E+04    0.14211E+02   -0.58061E+02    0.17269E+06   -0.27407E+02
  1121    0.11880E+04    0.14037E+02   -0.57187E+02    0.17238E+06   -0.27354E+02
  1122    0.11889E+04    0.13866E+02   -0.56305E+02    0.17206E+06   -0.27296E+02
  1123    0.11896E+04    0.13702E+02   -0.55413E+02    0.17175E+06   -0.27235E+02
  1124    0.11903E+04    0.13541E+02   -0.54511E+02    0.17144E+06   -0.27171E+02
  1125    0.11909E+04    0.13385E+02   -0.53600E+02    0.17113E+06   -0.27103E+02
  1126    0.11914E+04    0.13234E+02   -0.52682E+02    0.17081E+06   -0.27032E+02
  1127    0.11918E+04    0.13087E+02   -0.51755E+02    0.17050E+06   -0.26957E+02
  1128    0.11921E+04    0.12945E+02   -0.50822E+02    0.17019E+06   -0.26879E+02
  1129    0.11924E+04    0.12809E+02   -0.49881E+02    0.16988E+06   -0.26798E+02
  1130    0.11925E+04    0.12677E+02   -0.48934E+02    0.16958E+06   -0.26713E+02
  1131    0.11926E+04    0.12550E+02   -0.47981E+02    0.16927E+06   -0.26626E+02
  1132    0.11926E+04    0.12428E+02   -0.47022E+02    0.16896E+06   -0.26534E+02
  1133    0.11924E+04    0.12311E+02   -0.46059E+02    0.16866E+06   -0.26440E+02
  1134    0.11923E+04    0.12199E+02   -0.45090E+02    0.16835E+06   -0.26343E+02
  1135    0.11920E+04    0.12091E+02   -0.44117E+02    0.16805E+06   -0.26242E+02
  1136    0.11916E+04    0.11990E+02   -0.43141E+02    0.16774E+06   -0.26138E+02
  1137    0.11912E+04    0.11892E+02   -0.42160E+02    0.16744E+06   -0.26032E+02
  1138    0.11907E+04    0.11801E+02   -0.41178E+02    0.16714E+06   -0.25922E+02
  1139    0.11901E+04    0.11714E+02   -0.40192E+02    0.16683E+06   -0.25809E+02
  1140    0.11893E+04    0.11633E+02   -0.39204E+02    0.16653E+06   -0.25693E+02
  1141    0.11885E+04    0.11555E+02   -0.38215E+02    0.16623E+06   -0.25574E+02
  1142    0.11877E+04    0.11484E+02   -0.37224E+02    0.16593E+06   -0.25452E+02
  1143    0.11867E+04    0.11417E+02   -0.36233E+02    0.16563E+06   -0.25327E+02
  1144    0.11855E+04    0.11355E+02   -0.35242E+02    0.16534E+06   -0.25199E+02
  1145    0.11844E+04    0.11300E+02   -0.34251E+02    0.16504E+06   -0.25069E+02
  1146    0.11832E+04    0.11249E+02   -0.33260E+02    0.16474E+06   -0.24935E+02
  1147    0.11819E+04    0.11203E+02   -0.32270E+02    0.16445E+06   -0.24799E+02
  1148    0.11804E+04    0.11162E+02   -0.31281E+02    0.16415E+06   -0.24660E+02
  1149    0.11790E+04    0.11126E+02   -0.30295E+02    0.16386E+06   -0.24518E+02
  1150    0.11774E+04    0.11096E+02   -0.29311E+02    0.16356E+06   -0.24373E+02
  1151    0.11758E+04    0.11070E+02   -0.28329E+02    0.16327E+06   -0.24226E+02
  1152    0.11739E+04    0.11050E+02   -0.27351E+02    0.16298E+06   -0.24076E+02
  1153    0.11722E+04    0.11035E+02   -0.26377E+02    0.16268E+06   -0.23924E+02
  1154    0.11703E+04    0.11025E+02   -0.25405E+02    0.16239E+06   -0.23768E+02
  1155    0.11683E+04    0.11021E+02   -0.24438E+02    0.16210E+06   -0.23611E+02
  1156    0.11662E+04    0.11020E+02   -0.23477E+02    0.16181E+06   -0.23450E+02
  1157    0.11640E+04    0.11025E+02   -0.22519E+02    0.16152E+06   -0.23288E+02
  1158    0.11618E+04    0.11035E+02   -0.21568E+02    0.16123E+06   -0.23122E+02
  1159    0.11595E+04    0.11050E+02   -0.20623E+02    0.16095E+06   -0.22955E+02
  1160    0.11570E+04    0.11070E+02   -0.19685E+02    0.16066E+06   -0.22785E+02
  1161    0.11546E+04    0.11095E+02   -0.18753E+02    0.16037E+06   -0.22612E+02
  1162    0.11521E+04    0.11125E+02   -0.17829E+02    0.16009E+06   -0.22438E+02
  1163    0.11494E+04    0.11159E+02   -0.16913E+02    0.15980E+06   -0.22261E+02
  1164    0.11468E+04    0.11199E+02   -0.16004E+02    0.15952E+06   -0.22082E+02
  1165    0.11440E+04    0.11244E+02   -0.15104E+02    0.15924E+06   -0.21901E+02
  1166    0.11411E+04    0.11293E+02   -0.14212E+02    0.15895E+06   -0.21717E+02
  1167    0.11382E+04    0.11347E+02   -0.13330E+02    0.15867E+06   -0.21532E+02
  1168    0.11352E+04    0.11405E+02   -0.12457E+02    0.15839E+06   -0.21344E+02
  1169    0.11322E+04    0.11468E+02   -0.11595E+02    0.15811E+06   -0.21154E+02
  1170    0.11291E+04    0.11536E+02   -0.10741E+02    0.15783E+06   -0.20962E+02
  1171    0.11259E+04    0.11608E+02   -0.98992E+01    0.15755E+06   -0.20769E+02
  1172    0.11226E+04    0.11685E+02   -0.90682E+01    0.15727E+06   -0.20573E+02
  1173    0.11193E+04    0.11767E+02   -0.82479E+01    0.15699E+06   -0.20376E+02
  1174    0.11159E+04    0.11852E+02   -0.74396E+01    0.15671E+06   -0.20176E+02
  1175    0.11125E+04    0.11941E+02   -0.66432E+01    0.15644E+06   -0.19975E+02
  1176    0.11089E+04    0.12035E+02   -0.58594E+01    0.15616E+06   -0.19772E+02
  1177    0.11053E+04    0.12133E+02   -0.50877E+01    0.15588E+06   -0.19568E+02
  1178    0.11016E+04    0.12235E+02   -0.43289E+01    0.15561E+06   -0.19361E+02
  1179    0.10980E+04    0.12343E+02   -0.35832E+01    0.15533E+06   -0.19153E+02
  1180    0.10942E+04    0.12454E+02   -0.28508E+01    0.15506E+06   -0.18943E+02
  1181    0.10905E+04    0.12569E+02   -0.21321E+01    0.15479E+06   -0.18732E+02
  1182    0.10866E+04    0.12687E+02   -0.14274E+01    0.15451E+06   -0.18519E+02
  1183    0.10826E+04    0.12810E+02   -0.73675E+00    0.15424E+06   -0.18305E+02
  1184    0.10786E+04    0.12935E+02   -0.60661E-01    0.15397E+06   -0.18089E+02
  1185    0.10746E+04    0.13066E+02    0.60082E+00    0.15370E+06   -0.17872E+02
  1186    0.10706E+04    0.13199E+02    0.12473E+01    0.15343E+06   -0.17653E+02
  1187    0.10665E+04    0.13336E+02    0.18785E+01    0.15316E+06   -0.17433E+02
  1188    0.10623E+04    0.13477E+02    0.24942E+01    0.15289E+06   -0.17212E+02
  1189    0.10581E+04    0.13620E+02    0.30944E+01    0.15262E+06   -0.16989E+02
  1190    0.10539E+04    0.13767E+02    0.36787E+01    0.15236E+06   -0.16765E+02
  1191    0.10495E+04    0.13918E+02    0.42472E+01    0.15209E+06   -0.16540E+02
  1192    0.10452E+04    0.14072E+02    0.47993E+01    0.15182E+06   -0.16313E+02
  1193    0.10408E+04    0.14228E+02    0.53351E+01    0.15156E+06   -0.16086E+02
  1194    0.10364E+04    0.14388E+02    0.58545E+01    0.15129E+06   -0.15857E+02
  1195    0.10320E+04    0.14551E+02    0.63572E+01    0.15103E+06   -0.15627E+02
  1196    0.10275E+04    0.14717E+02    0.68428E+01    0.15077E+06   -0.15397E+02
  1197    0.10230E+04    0.14885E+02    0.73116E+01    0.15050E+06   -0.15165E+02
  1198    0.10184E+04    0.15056E+02    0.77620E+01    0.15024E+06   -0.14932E+02
  1199    0.10139E+04    0.15230E+02    0.81965E+01    0.14998E+06   -0.14698E+02
  1200    0.10092E+04    0.15406E+02    0.86133E+01    0.14972E+06   -0.14464E+02
  1201    0.10047E+04    0.15584E+02    0.90118E+01    0.14946E+06   -0.14228E+02
  1202    0.99994E+03    0.15766E+02    0.93934E+01    0.14920E+06   -0.13992E+02
  1203    0.99529E+03    0.15949E+02    0.97566E+01    0.14894E+06   -0.13756E+02
  1204    0.99056E+03    0.16135E+02    0.10102E+02    0.14868E+06   -0.13519E+02
  1205    0.98582E+03    0.16321E+02    0.10429E+02    0.14842E+06   -0.13282E+02
  1206    0.98108E+03    0.16511E+02    0.10739E+02    0.14816E+06   -0.13044E+02
  1207    0.97641E+03    0.16702E+02    0.11029E+02    0.14790E+06   -0.12807E+02
  1208    0.97166E+03    0.16895E+02    0.11302E+02    0.14765E+06   -0.12571E+02
  1209    0.96684E+03    0.17090E+02    0.11556E+02    0.14739E+06   -0.12335E+02
  1210    0.96208E+03    0.17286E+02    0.11792E+02    0.14714E+06   -0.12099E+02
  1211    0.95725E+03    0.17484E+02    0.12009E+02    0.14688E+06   -0.11865E+02
  1212    0.95249E+03    0.17683E+02    0.12207E+02    0.14663E+06   -0.11631E+02
  1213    0.94764E+03    0.17883E+02    0.12388E+02    0.14637E+06   -0.11398E+02
  1214    0.94287E+03    0.18086E+02    0.12550E+02    0.14612E+06   -0.11167E+02
  1215    0.93809E+03    0.18288E+02    0.12693E+02    0.14587E+06   -0.10938E+02
  1216    0.93331E+03    0.18492E+02    0.12817E+02    0.14562E+06   -0.10710E+02
  1217    0.92838E+03    0.18697E+02    0.12924E+02    0.14537E+06   -0.10484E+02
  1218    0.92359E+03    0.18904E+02    0.13011E+02    0.14511E+06   -0.10260E+02
  1219    0.91872E+03    0.19110E+02    0.13080E+02    0.14486E+06   -0.10038E+02
  1220    0.91393E+03    0.19317E+02    0.13130E+02    0.14462E+06   -0.98183E+01
  1221    0.90913E+03    0.19524E+02    0.13162E+02    0.14437E+06   -0.96014E+01
  1222    0.90432E+03    0.19733E+02    0.13175E+02    0.14412E+06   -0.93871E+01
  1223    0.89951E+03    0.19942E+02    0.13171E+02    0.14387E+06   -0.91757E+01
  1224    0.89470E+03    0.20149E+02    0.13146E+02    0.14362E+06   -0.89673E+01
  1225    0.88995E+03    0.20359E+02    0.13103E+02    0.14338E+06   -0.87622E+01
  1226    0.88520E+03    0.20567E+02    0.13043E+02    0.14313E+06   -0.85604E+01
  1227    0.88052E+03    0.20776E+02    0.12964E+02    0.14288E+06   -0.83622E+01
  1228    0.87577E+03    0.20985E+02    0.12868E+02    0.14264E+06   -0.81677E+01
  1229    0.87108E+03    0.21194E+02    0.12753E+02    0.14239E+06   -0.79770E+01
  1230    0.86624E+03    0.21402E+02    0.12620E+02    0.14215E+06   -0.77904E+01
  1231    0.86154E+03    0.21610E+02    0.12470E+02    0.14191E+06   -0.76081E+01
  1232    0.85684E+03    0.21817E+02    0.12303E+02    0.14166E+06   -0.74301E+01
  1233    0.85229E+03    0.22025E+02    0.12116E+02    0.14142E+06   -0.72567E+01
  1234    0.84765E+03    0.22230E+02    0.11914E+02    0.14118E+06   -0.70880E+01
  1235    0.84331E+03    0.22436E+02    0.11694E+02    0.14094E+06   -0.69242E+01
  1236    0.83882E+03    0.22640E+02    0.11457E+02    0.14070E+06   -0.67655E+01
  1237    0.83432E+03    0.22844E+02    0.11202E+02    0.14046E+06   -0.66120E+01
  1238    0.82989E+03    0.23047E+02    0.10930E+02    0.14022E+06   -0.64640E+01
  1239    0.82545E+03    0.23248E+02    0.10642E+02    0.13998E+06   -0.63215E+01
  1240    0.82101E+03    0.23448E+02    0.10338E+02    0.13974E+06   -0.61847E+01
  1241    0.81672E+03    0.23647E+02    0.10017E+02    0.13950E+06   -0.60539E+01
  1242    0.81234E+03    0.23845E+02    0.96807E+01    0.13927E+06   -0.59291E+01
  1243    0.80804E+03    0.24040E+02    0.93268E+01    0.13903E+06   -0.58106E+01
  1244    0.80381E+03    0.24236E+02    0.89586E+01    0.13879E+06   -0.56985E+01
  1245    0.79964E+03    0.24429E+02    0.85745E+01    0.13856E+06   -0.55930E+01
  1246    0.79547E+03    0.24620E+02    0.81762E+01    0.13832E+06   -0.54943E+01
  1247    0.79130E+03    0.24809E+02    0.77620E+01    0.13809E+06   -0.54025E+01
  1248    0.78720E+03    0.24997E+02    0.73327E+01    0.13785E+06   -0.53178E+01
  1249    0.78316E+03    0.25184E+02    0.68891E+01    0.13762E+06   -0.52403E+01
  1250    0.77920E+03    0.25368E+02    0.64310E+01    0.13739E+06   -0.51703E+01
  1251    0.77523E+03    0.25549E+02    0.59586E+01    0.13715E+06   -0.51079E+01
  1252    0.77140E+03    0.25729E+02    0.54720E+01    0.13692E+06   -0.50527E+01
  1253    0.76750E+03    0.25906E+02    0.49720E+01    0.13669E+06   -0.50045E+01
  1254    0.76366E+03    0.26080E+02    0.44585E+01    0.13646E+06   -0.49631E+01
  1255    0.75990E+03    0.26253E+02    0.39317E+01    0.13623E+06   -0.49280E+01
  1256    0.75628E+03    0.26423E+02    0.33923E+01    0.13600E+06   -0.48990E+01
  1257    0.75266E+03    0.26590E+02    0.28401E+01    0.13577E+06   -0.48758E+01
  1258    0.74903E+03    0.26755E+02    0.22757E+01    0.13554E+06   -0.48581E+01
  1259    0.74547E+03    0.26917E+02    0.16993E+01    0.13531E+06   -0.48456E+01
  1260    0.74198E+03    0.27076E+02    0.11112E+01    0.13508E+06   -0.48380E+01
  1261    0.73856E+03    0.27232E+02    0.51159E+00    0.13485E+06   -0.48349E+01
  1262    0.73522E+03    0.27386E+02   -0.98969E-01    0.13463E+06   -0.48362E+01
  1263    0.73194E+03    0.27537E+02   -0.72051E+00    0.13440E+06   -0.48414E+01
  1264    0.72866E+03    0.27685E+02   -0.13528E+01    0.13417E+06   -0.48503E+01
  1265    0.72553E+03    0.27829E+02   -0.19952E+01    0.13395E+06   -0.48626E+01
  1266    0.72239E+03    0.27971E+02   -0.26475E+01    0.13372E+06   -0.48779E+01
  1267    0.71932E+03    0.28108E+02   -0.33095E+01    0.13350E+06   -0.48960E+01
  1268    0.71633E+03    0.28244E+02   -0.39810E+01    0.13327E+06   -0.49166E+01
  1269    0.71342E+03    0.28375E+02   -0.46611E+01    0.13305E+06   -0.49393E+01
  1270    0.71055E+03    0.28503E+02   -0.53508E+01    0.13283E+06   -0.49639E+01
  1271    0.70776E+03    0.28628E+02   -0.60485E+01    0.13260E+06   -0.49901E+01
  1272    0.70501E+03    0.28749E+02   -0.67540E+01    0.13238E+06   -0.50175E+01
  1273    0.70232E+03    0.28867E+02   -0.74676E+01    0.13216E+06   -0.50459E+01
  1274    0.69971E+03    0.28980E+02   -0.81884E+01    0.13194E+06   -0.50750E+01
  1275    0.69715E+03    0.29090E+02   -0.89157E+01    0.13172E+06   -0.51043E+01
  1276    0.69466E+03    0.29197E+02   -0.96504E+01    0.13150E+06   -0.51338E+01
  1277    0.69224E+03    0.29300E+02   -0.10391E+02    0.13128E+06   -0.51630E+01
  1278    0.68988E+03    0.29399E+02   -0.11138E+02    0.13106E+06   -0.51916E+01
  1279    0.68759E+03    0.29494E+02   -0.11890E+02    0.13084E+06   -0.52194E+01
  1280    0.68538E+03    0.29586E+02   -0.12649E+02    0.13062E+06   -0.52460E+01
  1281    0.68323E+03    0.29674E+02   -0.13411E+02    0.13040E+06   -0.52712E+01
  1282    0.68115E+03    0.29758E+02   -0.14179E+02    0.13019E+06   -0.52945E+01
  1283    0.67913E+03    0.29838E+02   -0.14951E+02    0.12997E+06   -0.53159E+01
  1284    0.67719E+03    0.29914E+02   -0.15727E+02    0.12975E+06   -0.53348E+01
  1285    0.67531E+03    0.29986E+02   -0.16507E+02    0.12954E+06   -0.53511E+01
  1286    0.67349E+03    0.30054E+02   -0.17290E+02    0.12932E+06   -0.53644E+01
  1287    0.67175E+03    0.30118E+02   -0.18075E+02    0.12911E+06   -0.53745E+01
  1288    0.67009E+03    0.30177E+02   -0.18864E+02    0.12889E+06   -0.53809E+01
  1289    0.66848E+03    0.30233E+02   -0.19655E+02    0.12868E+06   -0.53835E+01
  1290    0.66694E+03    0.30285E+02   -0.20448E+02    0.12846E+06   -0.53819E+01
  1291    0.66548E+03    0.30332E+02   -0.21243E+02    0.12825E+06   -0.53758E+01
  1292    0.66408E+03    0.30374E+02   -0.22039E+02    0.12804E+06   -0.53650E+01
  1293    0.66274E+03    0.30414E+02   -0.22837E+02    0.12783E+06   -0.53490E+01
  1294    0.66149E+03    0.30449E+02   -0.23633E+02    0.12761E+06   -0.53277E+01
  1295    0.66029E+03    0.30479E+02   -0.24431E+02    0.12740E+06   -0.53006E+01
  1296    0.65916E+03    0.30506E+02   -0.25228E+02    0.12719E+06   -0.52676E+01
  1297    0.65810E+03    0.30529E+02   -0.26025E+02    0.12698E+06   -0.52282E+01
  1298    0.65711E+03    0.30548E+02   -0.26821E+02    0.12677E+06   -0.51823E+01
  1299    0.65618E+03    0.30562E+02   -0.27617E+02    0.12656E+06   -0.51295E+01
  1300    0.65532E+03    0.30571E+02   -0.28411E+02    0.12635E+06   -0.50694E+01
  1301    0.65453E+03    0.30578E+02   -0.29203E+02    0.12614E+06   -0.50020E+01
  1302    0.65381E+03    0.30579E+02   -0.29992E+02    0.12593E+06   -0.49274E+01
  1303    0.65314E+03    0.30576E+02   -0.30780E+02    0.12573E+06   -0.48459E+01
  1304    0.65254E+03    0.30570E+02   -0.31564E+02    0.12552E+06   -0.47580E+01
  1305    0.65201E+03    0.30558E+02   -0.32347E+02    0.12531E+06   -0.46639E+01
  1306    0.65153E+03    0.30544E+02   -0.33125E+02    0.12511E+06   -0.45640E+01
  1307    0.65114E+03    0.30525E+02   -0.33898E+02    0.12490E+06   -0.44585E+01
  1308    0.65080E+03    0.30501E+02   -0.34670E+02    0.12469E+06   -0.43479E+01
  1309    0.65051E+03    0.30472E+02   -0.35435E+02    0.12449E+06   -0.42325E+01
  1310    0.65030E+03    0.30441E+02   -0.36197E+02    0.12428E+06   -0.41126E+01
  1311    0.65014E+03    0.30405E+02   -0.36953E+02    0.12408E+06   -0.39886E+01
  1312    0.65006E+03    0.30365E+02   -0.37703E+02    0.12388E+06   -0.38607E+01
  1313    0.65003E+03    0.30321E+02   -0.38448E+02    0.12367E+06   -0.37294E+01
  1314    0.65006E+03    0.30273E+02   -0.39187E+02    0.12347E+06   -0.35949E+01
  1315    0.65014E+03    0.30221E+02   -0.39919E+02    0.12327E+06   -0.34576E+01
  1316    0.65030E+03    0.30164E+02   -0.40645E+02    0.12306E+06   -0.33178E+01
  1317    0.65051E+03    0.30105E+02   -0.41364E+02    0.12286E+06   -0.31759E+01
  1318    0.65076E+03    0.30041E+02   -0.42075E+02    0.12266E+06   -0.30321E+01
  1319    0.65108E+03    0.29972E+02   -0.42780E+02    0.12246E+06   -0.28869E+01
  1320    0.65145E+03    0.29900E+02   -0.43476E+02    0.12226E+06   -0.27406E+01
  1321    0.65187E+03    0.29825E+02   -0.44164E+02    0.12206E+06   -0.25935E+01
  1322    0.65235E+03    0.29745E+02   -0.44844E+02    0.12186E+06   -0.24459E+01
  1323    0.65289E+03    0.29661E+02   -0.45515E+02    0.12166E+06   -0.22982E+01
  1324    0.65348E+03    0.29574E+02   -0.46177E+02    0.12146E+06   -0.21507E+01
  1325    0.65411E+03    0.29483E+02   -0.46830E+02    0.12126E+06   -0.20037E+01
  1326    0.65480E+03    0.29388E+02   -0.47474E+02    0.12106E+06   -0.18576E+01
  1327    0.65553E+03    0.29290E+02   -0.48109E+02    0.12087E+06   -0.17128E+01
  1328    0.65632E+03    0.29189E+02   -0.48732E+02    0.12067E+06   -0.15695E+01
  1329    0.65716E+03    0.29084E+02   -0.49346E+02    0.12047E+06   -0.14280E+01
  1330    0.65803E+03    0.28974E+02   -0.49949E+02    0.12028E+06   -0.12888E+01
  1331    0.65897E+03    0.28862E+02   -0.50541E+02    0.12008E+06   -0.11522E+01
  1332    0.65993E+03    0.28746E+02   -0.51124E+02    0.11988E+06   -0.10184E+01
  1333    0.66095E+03    0.28627E+02   -0.51693E+02    0.11969E+06   -0.88789E+00
  1334    0.66200E+03    0.28505E+02   -0.52253E+02    0.11949E+06   -0.76092E+00
  1335    0.66310E+03    0.28378E+02   -0.52801E+02    0.11930E+06   -0.63785E+00
  1336    0.66424E+03    0.28250E+02   -0.53335E+02    0.11911E+06   -0.51901E+00
  1337    0.66542E+03    0.28117E+02   -0.53859E+02    0.11891E+06   -0.40475E+00
  1338    0.66664E+03    0.27982E+02   -0.54371E+02    0.11872E+06   -0.29538E+00
  1339    0.66790E+03    0.27843E+02   -0.54870E+02    0.11853E+06   -0.19126E+00
  1340    0.66919E+03    0.27702E+02   -0.55358E+02    0.11833E+06   -0.92714E-01
  1341    0.67051E+03    0.27559E+02   -0.55832E+02    0.11814E+06   -0.77713E-04
  1342    0.67187E+03    0.27411E+02   -0.56294E+02    0.11795E+06    0.86312E-01
  1343    0.67327E+03    0.27261E+02   -0.56742E+02    0.11776E+06    0.16612E+00
  1344    0.67470E+03    0.27108E+02   -0.57178E+02    0.11757E+06    0.23901E+00
  1345    0.67615E+03    0.26954E+02   -0.57599E+02    0.11738E+06    0.30465E+00
  1346    0.67763E+03    0.26795E+02   -0.58008E+02    0.11719E+06    0.36270E+00
  1347    0.67915E+03    0.26635E+02   -0.58403E+02    0.11700E+06    0.41283E+00
  1348    0.68069E+03    0.26472E+02   -0.58784E+02    0.11681E+06    0.45469E+00
  1349    0.68227E+03    0.26305E+02   -0.59151E+02    0.11662E+06    0.48797E+00
  1350    0.68386E+03    0.26138E+02   -0.59504E+02    0.11643E+06    0.51231E+00
  1351    0.68548E+03    0.25967E+02   -0.59843E+02    0.11624E+06    0.52756E+00
  1352    0.68711E+03    0.25794E+02   -0.60168E+02    0.11605E+06    0.53419E+00
  1353    0.68878E+03    0.25621E+02   -0.60478E+02    0.11587E+06    0.53287E+00
  1354    0.69046E+03    0.25444E+02   -0.60775E+02    0.11568E+06    0.52425E+00
  1355    0.69217E+03    0.25265E+02   -0.61056E+02    0.11549E+06    0.50898E+00
  1356    0.69390E+03    0.25085E+02   -0.61325E+02    0.11531E+06    0.48773E+00
  1357    0.69564E+03    0.24902E+02   -0.61577E+02    0.11512E+06    0.46114E+00
  1358    0.69738E+03    0.24718E+02   -0.61812E+02    0.11493E+06    0.42988E+00
  1359    0.69914E+03    0.24532E+02   -0.62036E+02    0.11475E+06    0.39459E+00
  1360    0.70090E+03    0.24346E+02   -0.62242E+02    0.11456E+06    0.35593E+00
  1361    0.70269E+03    0.24156E+02   -0.62435E+02    0.11438E+06    0.31456E+00
  1362    0.70447E+03    0.23965E+02   -0.62611E+02    0.11420E+06    0.27113E+00
  1363    0.70627E+03    0.23773E+02   -0.62775E+02    0.11401E+06    0.22631E+00
  1364    0.70805E+03    0.23580E+02   -0.62921E+02    0.11383E+06    0.18073E+00
  1365    0.70992E+03    0.23385E+02   -0.63052E+02    0.11365E+06    0.13506E+00
  1366    0.71172E+03    0.23189E+02   -0.63169E+02    0.11346E+06    0.89957E-01
  1367    0.71352E+03    0.22991E+02   -0.63271E+02    0.11328E+06    0.46071E-01
  1368    0.71541E+03    0.22793E+02   -0.63356E+02    0.11310E+06    0.40594E-02
  1369    0.71722E+03    0.22594E+02   -0.63426E+02    0.11292E+06   -0.35423E-01
  1370    0.71904E+03    0.22394E+02   -0.63482E+02    0.11274E+06   -0.71721E-01
  1371    0.72086E+03    0.22193E+02   -0.63522E+02    0.11256E+06   -0.10418E+00
  1372    0.72268E+03    0.21992E+02   -0.63547E+02    0.11237E+06   -0.13214E+00
  1373    0.72451E+03    0.21790E+02   -0.63556E+02    0.11219E+06   -0.15495E+00
  1374    0.72634E+03    0.21587E+02   -0.63550E+02    0.11201E+06   -0.17196E+00
  1375    0.72817E+03    0.21384E+02   -0.63530E+02    0.11184E+06   -0.18251E+00
  1376    0.73001E+03    0.21180E+02   -0.63493E+02    0.11166E+06   -0.18594E+00
  1377    0.73185E+03    0.20977E+02   -0.63442E+02    0.11148E+06   -0.18160E+00
  1378    0.73370E+03    0.20772E+02   -0.63376E+02    0.11130E+06   -0.16883E+00
  1379    0.73548E+03    0.20569E+02   -0.63295E+02    0.11112E+06   -0.14698E+00
  1380    0.73725E+03    0.20363E+02   -0.63199E+02    0.11094E+06   -0.11540E+00
  1381    0.73904E+03    0.20159E+02   -0.63087E+02    0.11077E+06   -0.73417E-01
  1382    0.74068E+03    0.19954E+02   -0.62960E+02    0.11059E+06   -0.20391E-01
  1383    0.74247E+03    0.19749E+02   -0.62819E+02    0.11041E+06    0.44337E-01
  1384    0.74411E+03    0.19545E+02   -0.62663E+02    0.11024E+06    0.12142E+00
  1385    0.74576E+03    0.19341E+02   -0.62493E+02    0.11006E+06    0.21152E+00
  1386    0.74742E+03    0.19137E+02   -0.62307E+02    0.10989E+06    0.31529E+00
  1387    0.74900E+03    0.18934E+02   -0.62107E+02    0.10971E+06    0.43338E+00
  1388    0.75074E+03    0.18731E+02   -0.61893E+02    0.10953E+06    0.56645E+00
  1389    0.75233E+03    0.18528E+02   -0.61664E+02    0.10936E+06    0.71516E+00
  1390    0.75385E+03    0.18326E+02   -0.61423E+02    0.10919E+06    0.88016E+00
  1391    0.75545E+03    0.18125E+02   -0.61166E+02    0.10901E+06    0.10621E+01
  1392    0.75698E+03    0.17925E+02   -0.60896E+02    0.10884E+06    0.12616E+01
  1393    0.75852E+03    0.17726E+02   -0.60611E+02    0.10867E+06    0.14794E+01
  1394    0.75998E+03    0.17527E+02   -0.60315E+02    0.10849E+06    0.17161E+01
  1395    0.76145E+03    0.17329E+02   -0.60003E+02    0.10832E+06    0.19724E+01
  1396    0.76292E+03    0.17133E+02   -0.59680E+02    0.10815E+06    0.22489E+01
  1397    0.76432E+03    0.16938E+02   -0.59342E+02    0.10798E+06    0.25463E+01
  1398    0.76565E+03    0.16743E+02   -0.58991E+02    0.10780E+06    0.28652E+01
  1399    0.76699E+03    0.16551E+02   -0.58628E+02    0.10763E+06    0.32063E+01
  1400    0.76833E+03    0.16359E+02   -0.58252E+02    0.10746E+06    0.35702E+01
  1401    0.76960E+03    0.16168E+02   -0.57863E+02    0.10729E+06    0.39574E+01
  1402    0.77087E+03    0.15980E+02   -0.57463E+02    0.10712E+06    0.43674E+01
  1403    0.77207E+03    0.15792E+02   -0.57049E+02    0.10695E+06    0.47995E+01
  1404    0.77321E+03    0.15607E+02   -0.56624E+02    0.10678E+06    0.52529E+01
  1405    0.77442E+03    0.15423E+02   -0.56187E+02    0.10661E+06    0.57271E+01
  1406    0.77548E+03    0.15241E+02   -0.55739E+02    0.10644E+06    0.62212E+01
  1407    0.77648E+03    0.15060E+02   -0.55279E+02    0.10628E+06    0.67346E+01
